CD_REFNIS,MALE,FEMALE,TOTAL,TX_DESCR_NL,TX_DESCR_FR
63046,2947,2965,5912,Limburg,Limbourg
63048,2894,2870,5764,Lontzen,Lontzen
63049,6154,6587,12741,Malmedy,Malmedy
63057,2053,2027,4080,Olne,Olne
63058,4770,5002,9772,Pepinster,Pepinster
63061,5309,5450,10759,Raeren,Raeren
63067,4869,4853,9722,Sankt Vith,Saint-Vith
63072,4981,5248,10229,Spa,Spa
63073,3586,3583,7169,Stavelot,Stavelot
63075,1575,1592,3167,Stoumont,Stoumont
63076,5860,6171,12031,Theux,Theux
63079,26928,28279,55207,Verviers,Verviers
63080,3769,3656,7425,Weismes,Waimes
63084,4901,5101,10002,Welkenraedt,Welkenraedt
63086,1272,1281,2553,Trois-Ponts,Trois-Ponts
63087,1987,1948,3935,Burg-Reuland,Burg-Reuland
63088,5216,5243,10459,Plombières,Plombières
63089,2850,2850,5700,Thimister-Clermont,Thimister-Clermont
64000,39730,41659,81389,Arrondissement Borgworm,Arrondissement de Waremme
64008,1568,1564,3132,Berloz,Berloz
64015,3155,3220,6375,Braives,Braives
64021,1664,1748,3412,Crisnée,Crisnée
64023,1553,1507,3060,Donceel,Donceel
64025,1627,1606,3233,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher
64029,1740,1745,3485,Geer,Geer
64034,7978,8593,16571,Hannuit,Hannut
64047,1626,1685,3311,Lijsem,Lincent
64056,1874,2021,3895,Oerle,Oreye
64063,2875,3031,5906,Remicourt,Remicourt
64065,3373,3430,6803,Saint-Georges-sur-Meuse,Saint-Georges-sur-Meuse
64074,7305,8029,15334,Borgworm,Waremme
64075,1436,1501,2937,Wasseiges,Wasseiges
64076,1956,1979,3935,Faimes,Faimes
70000,435270,438778,874048,Provincie Limburg,Province du Limbourg
71000,207273,211223,418496,Arrondissement Hasselt,Arrondissement de Hasselt
71002,4057,4145,8202,As,As
71004,23259,23087,46346,Beringen,Beringen
71011,9544,9487,19031,Diepenbeek,Diepenbeek
71016,32702,33525,66227,Genk,Genk
71017,4204,4201,8405,Gingelom,Gingelom
71020,4704,4723,9427,Halen,Halen
71022,38312,39984,78296,Hasselt,Hasselt
71024,6237,6399,12636,Herk-de-Stad,Herck-la-Ville
71034,7858,7897,15755,Leopoldsburg,Bourg-Léopold
71037,7542,7348,14890,Lummen,Lummen
