CD_REFNIS,MS_SEX,<65 year,>=65year,TOTAL,,TX_DESCR_FR
23086,VROUW,6292,1722,8014,Ternat,Ternat
23088,TOTAL,38311,6416,44727,Vilvoorde,Vilvorde
23088,MAN,19032,2726,21758,Vilvoorde,Vilvorde
23088,VROUW,19279,3690,22969,Vilvoorde,Vilvorde
23094,TOTAL,28903,5465,34368,Zaventem,Zaventem
23094,MAN,14446,2327,16773,Zaventem,Zaventem
23094,VROUW,14457,3138,17595,Zaventem,Zaventem
23096,TOTAL,18982,4376,23358,Zemst,Zemst
23096,MAN,9455,1994,11449,Zemst,Zemst
23096,VROUW,9527,2382,11909,Zemst,Zemst
23097,TOTAL,9433,2198,11631,Roosdaal,Roosdaal
23097,MAN,4734,1006,5740,Roosdaal,Roosdaal
23097,VROUW,4699,1192,5891,Roosdaal,Roosdaal
23098,TOTAL,4768,921,5689,Drogenbos,Drogenbos
23098,MAN,2315,365,2680,Drogenbos,Drogenbos
23098,VROUW,2453,556,3009,Drogenbos,Drogenbos
23099,TOTAL,11273,2457,13730,Kraainem,Kraainem
23099,MAN,5584,1087,6671,Kraainem,Kraainem
23099,VROUW,5689,1370,7059,Kraainem,Kraainem
23100,TOTAL,3773,898,4671,Linkebeek,Linkebeek
23100,MAN,1826,380,2206,Linkebeek,Linkebeek
23100,VROUW,1947,518,2465,Linkebeek,Linkebeek
23101,TOTAL,14859,3528,18387,Sint-Genesius-Rode,Rhode-Saint-Genèse
23101,MAN,7282,1591,8873,Sint-Genesius-Rode,Rhode-Saint-Genèse
23101,VROUW,7577,1937,9514,Sint-Genesius-Rode,Rhode-Saint-Genèse
23102,TOTAL,13316,3175,16491,Wemmel,Wemmel
23102,MAN,6677,1318,7995,Wemmel,Wemmel
23102,VROUW,6639,1857,8496,Wemmel,Wemmel
23103,TOTAL,11556,2702,14258,Wezembeek-Oppem,Wezembeek-Oppem
23103,MAN,5649,1218,6867,Wezembeek-Oppem,Wezembeek-Oppem
23103,VROUW,5907,1484,7391,Wezembeek-Oppem,Wezembeek-Oppem
23104,TOTAL,7061,2013,9074,Lennik,Lennik
23104,MAN,3568,882,4450,Lennik,Lennik
23104,VROUW,3493,1131,4624,Lennik,Lennik
23105,TOTAL,10700,2528,13228,Affligem,Affligem
23105,MAN,5324,1169,6493,Affligem,Affligem
23105,VROUW,5376,1359,6735,Affligem,Affligem
24000,TOTAL,407151,101583,508734,Arrondissement Leuven,Arrondissement de Louvain
24000,MAN,205738,45744,251482,Arrondissement Leuven,Arrondissement de Louvain
24000,VROUW,201413,55839,257252,Arrondissement Leuven,Arrondissement de Louvain
24001,TOTAL,23334,6781,30115,Aarschot,Aarschot
24001,MAN,11708,3017,14725,Aarschot,Aarschot
24001,VROUW,11626,3764,15390,Aarschot,Aarschot
24007,TOTAL,7985,2129,10114,Begijnendijk,Begijnendijk
24007,MAN,3937,1014,4951,Begijnendijk,Begijnendijk
24007,VROUW,4048,1115,5163,Begijnendijk,Begijnendijk
24008,TOTAL,5005,1301,6306,Bekkevoort,Bekkevoort
24008,MAN,2583,603,3186,Bekkevoort,Bekkevoort
24008,VROUW,2422,698,3120,Bekkevoort,Bekkevoort
24009,TOTAL,8076,1931,10007,Bertem,Bertem
24009,MAN,4039,865,4904,Bertem,Bertem
24009,VROUW,4037,1066,5103,Bertem,Bertem
24011,TOTAL,7926,2157,10083,Bierbeek,Bierbeek
24011,MAN,4043,994,5037,Bierbeek,Bierbeek
24011,VROUW,3883,1163,5046,Bierbeek,Bierbeek
24014,TOTAL,10001,2515,12516,Boortmeerbeek,Boortmeerbeek
24014,MAN,5035,1176,6211,Boortmeerbeek,Boortmeerbeek
